lng,lat,maydoni,narxi
69.2786182,41.2960597,78.33333333333333,78333.33333333333
69.2788341,41.3351524,200.0,220000.0
69.279218,41.3029081,94.05,94933.2
69.2792998,41.3028425,92.14285714285714,82714.28571428571
69.2795931,41.2920483,116.0,102200.0
69.2798373,41.3753451,45.0,24050.0
69.2799062,41.2679924,130.0,99000.0
69.2803036,41.3298867,83.49019607843137,78122.7843137255
69.2807015,41.2975234,105.0,170000.0
69.2810486,41.3714709,73.0,50316.666666666664
69.2811355,41.3614011,50.0,33500.0
69.2812915,41.3377063,66.0,75000.0
69.2816158,41.301487,120.0,164500.0
69.2817165,41.2895883,112.5,88500.0
69.2817965,41.3616967,64.14285714285714,52500.0
69.2820477,41.2772419,109.0,91500.0
69.2823935,41.3009974,120.0,165000.0
69.2824454,41.3365221,88.33333333333333,103800.0
69.2825052,41.3280586,132.0,65000.0
69.2825385,41.269586,80.33333333333333,50000.0
69.2826522,41.3078817,83.0,41500.0
69.2827199,41.2901478,114.18333333333334,75000.0
69.2830443,41.2930698,57.333333333333336,52000.0
69.2832772,41.3168156,74.0,63369.333333333336
69.2834698,41.29577,75.0,59000.0
69.2834991,41.3273897,100.0,88000.0
69.283656,41.3019672,97.0,129642.85714285714
69.2836951,41.2850116,66.4,43100.0
69.2837907,41.2981824,86.0,95214.28571428571
69.2840285,41.3804352,76.05263157894737,48342.10526315789
69.2843545,41.329933,45.0,40000.0
69.2844444,41.3188889,102.92666666666668,121466.66666666667
69.2844476,41.2962915,85.66666666666667,61425.0
69.2844798,41.3064081,91.25,107332.5
69.284744,41.337706,74.71428571428571,59142.857142857145
69.2855185,41.2460792,125.0,51000.0
69.2856753,41.3052026,81.6,84400.0
69.285686,41.3011646,68.33333333333333,60333.333333333336
69.2857074,41.307709,160.0,219000.0
69.2860196,41.3195679,60.0,35000.0
69.2861465,41.3243928,65.0,58000.0
69.286357,41.2983743,140.0,235000.0
69.2865609,41.3454697,99.86666666666666,95700.0
69.2867092,41.3103559,80.0,115000.0
69.2868879,41.28449,40.0,23500.0
69.2870704,41.3090182,65.0,58799.9
69.2873919,41.3507755,70.625,56297.5
69.2877728,41.2991133,130.6,171400.0
69.2877819,41.2989444,187.0,145000.0
69.2878747,41.3528936,41.0,26950.0
69.2884405,41.2986478,128.75,113750.0
69.2885211,41.3634707,76.0,48000.0
69.2888203,41.3057448,65.8,63000.0
69.289065,41.3249559,94.0,118000.0
69.2892434,41.3171406,68.09677419354838,66522.3870967742
69.2892434,41.3700057,61.194736842105264,51352.63157894737
69.2893379,41.2855755,110.0,110000.0
69.2893794,41.3117305,80.0,90000.0
69.2898134,41.3052221,90.4,98348.0
69.2898483,41.3115806,82.5,90000.0
69.2899884,41.246917,79.75,44050.0
69.2900702,41.2934028,81.33333333333333,62500.0
69.2904293,41.3143203,39.42857142857143,25014.0
69.2904538,41.3314325,110.0,96000.0
69.2904598,41.3322872,280.0,320000.0
69.2906958,41.3060918,62.875,59975.0
69.2907919,41.2754948,63.5,33250.0
69.2909975,41.362437,79.0,55000.0
69.2910424,41.3137673,56.666666666666664,72500.0
69.2910504,41.3120206,103.0,170000.0
69.2915505,41.3057745,87.5,84500.0
